                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3171,                 2.0252,                 1.4323,                0.60772,                0.48464,                0.51964,                0.24759,                 1.8036,                 1.6455,                 1.7298,             0.00023654,             0.00023654,             0.00023654
                      2,                 1.2034,                 1.4047,                 1.3504,                0.69321,                0.47531,                0.52803,                  0.251,                 1.8225,                 1.6336,                 1.8097,             0.00046514,             0.00046514,             0.00046514
                      3,                 1.1849,                 1.3339,                 1.3377,                0.65937,                0.52698,                 0.5449,                0.24157,                 1.9221,                 1.6081,                 1.9026,             0.00068432,             0.00068432,             0.00068432
                      4,                 1.1742,                 1.2885,                 1.3273,                0.66126,                0.51294,                0.53923,                0.26873,                 1.8311,                  1.724,                 1.7861,             0.00067159,             0.00067159,             0.00067159
                      5,                 1.1445,                 1.2198,                 1.3072,                0.73328,                0.54382,                0.60444,                0.25721,                 2.0512,                 1.5276,                 1.9434,             0.00067159,             0.00067159,             0.00067159
                      6,                 1.1263,                 1.1626,                 1.2909,                0.74545,                0.55532,                0.61185,                0.31728,                 1.7305,                 1.3335,                 1.6976,             0.00065745,             0.00065745,             0.00065745
                      7,                 1.0976,                 1.1126,                 1.2733,                0.77353,                0.58799,                0.66047,                0.30319,                 1.8708,                 1.2529,                 1.8272,             0.00064331,             0.00064331,             0.00064331
                      8,                 1.0838,                 1.0848,                 1.2634,                0.82217,                0.58719,                0.67812,                0.34122,                 1.7276,                 1.2003,                 1.6946,             0.00062918,             0.00062918,             0.00062918
                      9,                 1.0605,                 1.0385,                 1.2462,                 0.7962,                0.62411,                0.68119,                 0.3697,                 1.6227,                 1.1636,                 1.6341,             0.00061504,             0.00061504,             0.00061504
                     10,                 1.0369,                0.99724,                 1.2345,                0.75977,                0.64027,                0.69028,                0.36963,                 1.5886,                 1.1908,                 1.6329,              0.0006009,              0.0006009,              0.0006009
                     11,                 1.0291,                0.97296,                 1.2223,                0.86892,                0.58593,                0.69168,                0.38684,                 1.6192,                 1.0902,                  1.628,             0.00058677,             0.00058677,             0.00058677
                     12,                 1.0126,                0.94203,                 1.2093,                0.83297,                0.64096,                0.71815,                 0.3782,                 1.6373,                 1.1096,                 1.6162,             0.00057263,             0.00057263,             0.00057263
                     13,                0.99164,                 0.9197,                 1.2018,                0.83283,                0.65266,                 0.7321,                0.40362,                 1.6077,                 1.0502,                 1.6125,             0.00055849,             0.00055849,             0.00055849
                     14,                0.97193,                0.88848,                 1.1913,                0.86228,                0.65616,                0.73173,                0.40222,                 1.5658,                 1.0136,                 1.5916,             0.00054435,             0.00054435,             0.00054435
                     15,                0.95918,                0.88122,                 1.1838,                0.83252,                0.66292,                0.72999,                0.42231,                 1.4816,                 1.0137,                 1.5456,             0.00053022,             0.00053022,             0.00053022
                     16,                0.95074,                0.84643,                 1.1713,                0.83516,                0.66361,                0.73516,                0.39015,                 1.6377,                 1.0175,                  1.603,             0.00051608,             0.00051608,             0.00051608
                     17,                0.94454,                0.83441,                 1.1667,                0.84359,                0.64779,                0.73174,                  0.415,                 1.4713,                 1.0163,                 1.5296,             0.00050194,             0.00050194,             0.00050194
                     18,                0.93498,                0.81717,                 1.1576,                0.86154,                0.68138,                0.75198,                0.42432,                 1.5061,                0.96378,                 1.5327,              0.0004878,              0.0004878,              0.0004878
                     19,                0.92498,                0.80136,                 1.1491,                 0.8895,                0.68112,                0.76116,                0.45185,                 1.4442,                0.92919,                 1.4676,             0.00047367,             0.00047367,             0.00047367
                     20,                0.91523,                 0.7867,                 1.1472,                0.85647,                  0.698,                0.76902,                0.45024,                 1.4357,                0.91512,                 1.4918,             0.00045953,             0.00045953,             0.00045953
                     21,                0.90297,                0.77877,                  1.137,                0.87405,                0.68463,                 0.7596,                0.45882,                 1.3423,                0.88696,                 1.4119,             0.00044539,             0.00044539,             0.00044539
                     22,                 0.8817,                0.74864,                 1.1281,                0.83996,                0.72778,                 0.7884,                0.45573,                 1.4271,                0.85041,                 1.4823,             0.00043126,             0.00043126,             0.00043126
                     23,                0.88038,                0.73831,                 1.1286,                0.88866,                0.69076,                0.78543,                0.45428,                 1.4578,                0.88118,                 1.4931,             0.00041712,             0.00041712,             0.00041712
                     24,                0.86676,                0.72393,                  1.118,                0.83462,                0.72206,                0.77923,                0.45689,                 1.3904,                0.88356,                 1.4522,             0.00040298,             0.00040298,             0.00040298
                     25,                0.86204,                0.71811,                 1.1164,                0.90447,                0.69883,                0.79298,                0.46787,                 1.4344,                0.86659,                 1.5001,             0.00038884,             0.00038884,             0.00038884
                     26,                0.85324,                0.70848,                 1.1099,                0.83799,                0.72275,                 0.7949,                0.48919,                 1.3032,                0.82934,                 1.3917,             0.00037471,             0.00037471,             0.00037471
                     27,                0.84119,                 0.6934,                 1.0997,                0.88587,                0.70597,                0.80008,                0.48252,                 1.3824,                0.83271,                  1.441,             0.00036057,             0.00036057,             0.00036057
                     28,                0.82874,                0.67234,                 1.0948,                0.87212,                0.73834,                0.80998,                0.49943,                  1.322,                0.79345,                 1.3943,             0.00034643,             0.00034643,             0.00034643
                     29,                0.82339,                0.66993,                 1.0921,                0.91747,                0.70112,                0.80926,                0.49593,                 1.3555,                0.79579,                 1.4275,              0.0003323,              0.0003323,              0.0003323
                     30,                0.81545,                0.65896,                 1.0897,                0.87554,                0.73182,                 0.8086,                0.48198,                 1.3881,                0.81543,                 1.4383,             0.00031816,             0.00031816,             0.00031816
                     31,                0.80711,                0.65036,                 1.0806,                0.90134,                0.72957,                0.82073,                0.51704,                 1.3033,                0.76943,                 1.3713,             0.00030402,             0.00030402,             0.00030402
                     32,                0.79763,                0.63958,                  1.076,                0.92596,                0.72169,                0.81389,                0.50142,                 1.3524,                0.75017,                  1.386,             0.00028988,             0.00028988,             0.00028988
                     33,                 0.7924,                 0.6329,                 1.0691,                0.89106,                0.72717,                0.81023,                0.50903,                 1.2719,                 0.7588,                  1.349,             0.00027575,             0.00027575,             0.00027575
                     34,                0.78293,                0.61942,                 1.0629,                0.90495,                0.74463,                0.81857,                0.52219,                 1.2727,                0.72467,                 1.3499,             0.00026161,             0.00026161,             0.00026161
                     35,                 0.7868,                0.62079,                 1.0687,                0.89786,                0.76479,                0.82524,                0.51596,                 1.3033,                0.75438,                 1.3747,             0.00024747,             0.00024747,             0.00024747
                     36,                0.77363,                0.61371,                  1.057,                0.90029,                0.74336,                0.82278,                0.52926,                 1.2642,                0.73283,                 1.3405,             0.00023334,             0.00023334,             0.00023334
                     37,                0.76576,                0.60322,                 1.0561,                0.89585,                0.74567,                0.83417,                0.52917,                  1.282,                0.72203,                 1.3649,              0.0002192,              0.0002192,              0.0002192
                     38,                0.75699,                0.59084,                 1.0497,                 0.9081,                0.74678,                0.83011,                0.52896,                 1.2753,                 0.7262,                 1.3531,             0.00020506,             0.00020506,             0.00020506
                     39,                0.74096,                0.57722,                 1.0442,                0.88364,                0.77265,                0.83139,                0.52805,                 1.2907,                0.70854,                 1.3668,             0.00019092,             0.00019092,             0.00019092
                     40,                0.73857,                0.57691,                 1.0434,                 0.9059,                0.75141,                0.83385,                0.53804,                 1.2486,                0.70551,                 1.3289,             0.00017679,             0.00017679,             0.00017679
                     41,                0.75049,                0.51123,                 1.0391,                0.90774,                 0.7322,                0.81158,                0.53763,                 1.1828,                0.71525,                 1.2898,             0.00016265,             0.00016265,             0.00016265
                     42,                0.72353,                0.48661,                 1.0217,                0.91411,                0.74215,                0.84122,                0.54163,                 1.2423,                0.69505,                 1.3455,             0.00014851,             0.00014851,             0.00014851
                     43,                0.71077,                0.47341,                 1.0188,                0.92667,                0.74409,                0.84293,                0.54144,                 1.2072,                0.68869,                 1.3023,             0.00013437,             0.00013437,             0.00013437
                     44,                0.70744,                0.46628,                  1.016,                0.91906,                0.74809,                0.83857,                0.55707,                 1.1686,                0.68577,                 1.2717,             0.00012024,             0.00012024,             0.00012024
                     45,                 0.6989,                0.46551,                 1.0136,                 0.9064,                0.75901,                0.84143,                0.54974,                 1.2026,                0.67334,                  1.307,              0.0001061,              0.0001061,              0.0001061
                     46,                0.68347,                0.45106,                 1.0007,                0.90116,                0.77201,                0.85018,                0.55212,                 1.2171,                0.67402,                 1.3024,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     47,                0.67359,                 0.4431,                0.99516,                0.90543,                0.78107,                0.85113,                0.55775,                 1.1882,                0.66092,                 1.3056,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     48,                0.66786,                 0.4429,                0.99455,                0.91962,                0.75957,                0.84802,                0.55928,                 1.1619,                0.66865,                 1.2696,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     49,                0.65369,                0.43173,                0.98731,                0.93371,                0.75387,                 0.8479,                0.55821,                 1.1675,                0.65023,                 1.2703,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     50,                0.64861,                0.42718,                0.98865,                 0.9083,                0.77952,                0.85303,                0.56956,                 1.1397,                0.64196,                  1.248,             3.5414e-05,             3.5414e-05,             3.5414e-05
